id,value,category
1,0.39165458432398736,A
2,0.10004175105132163,B
3,0.03243862837553024,C
4,0.9104146417230368,B
5,0.5351971357595176,B
6,0.9349914698395878,E
7,0.7894588466733694,C
8,0.7981174762826413,D
9,0.07940659346058965,C
10,0.8699747188948095,E
11,0.45268248743377626,E
12,0.15418994729407132,A
13,0.2022270355373621,D
14,0.6676160958595574,B
15,0.5082417824305594,D
16,0.8003236027434468,E
17,0.727939173579216,C
18,0.8644474272150546,A
19,0.8396821713540703,E
20,0.2988173211924732,A
21,0.14597436203621328,E
22,0.6486130822449923,E
23,0.2230250583961606,C
24,0.41520210611633956,A
25,0.5333971024956554,B
26,0.45146808098070323,E
27,0.9094949110876769,B
28,0.6932123608421534,A
29,0.19211939070373774,A
30,0.23518427112139761,C
31,0.062136125983670354,D
32,0.8981876857578754,C
33,0.47506432607769966,E
34,0.04692901764065027,B
35,0.9280732311308384,E
36,0.4588152670767158,A
37,0.619986291276291,B
38,0.0020841744262725115,C
39,0.565637075342238,C
40,0.32069774507544935,A
41,0.8977251399774104,C
42,0.3445555856451392,C
43,0.9110330143012106,C
44,0.7754897577688098,D
45,0.6546037050429732,C
46,0.15604983689263463,E
47,0.7065494838170707,E
48,0.2015224676579237,A
49,0.04456468322314322,B
50,0.49561613774858415,B
51,0.8115839390084147,E
52,0.5037416506092995,E
53,0.5159028980415314,D
54,0.027141082799062133,E
55,0.14172941376455128,D
56,0.9389675187412649,A
57,0.5792609590571374,C
58,0.3120418479666114,B
59,0.7105848360806704,D
60,0.8922089880798012,A
61,0.60673434776254,C
62,0.42435428011231124,E
63,0.39243437303230166,C
64,0.503087708959356,E
65,0.2600030323956162,C
66,0.021506873425096273,A
67,0.7420030406210572,E
68,0.3615928718354553,C
69,0.8038768041878939,E
70,0.5714715735521168,D
71,0.6963153346441686,C
72,0.7296527961734682,D
73,0.34837969904765487,B
74,0.4845819438342005,D
75,0.7205671651754528,C
76,0.6332773552276194,A
77,0.2755971394944936,A
78,0.9395328075625002,E
79,0.4940147791057825,D
80,0.231363674858585,E
81,0.24113091407343745,C
82,0.9486694291699678,D
83,0.06882837996818125,A
84,0.6056293889414519,C
85,0.15140672959387302,C
86,0.6683516374323517,B
87,0.6397395960520953,A
88,0.903682800475508,C
89,0.4530498974490911,D
90,0.2645733745303005,E
91,0.7091466039419174,E
92,0.4907971164211631,E
93,0.20731845847330987,B
94,0.7679684497416019,A
95,0.9737843426410109,A
96,0.26632164884358644,C
97,0.7172531338874251,E
98,0.03999180672690272,E
99,0.5761969196610153,E
100,0.14651757990941405,D
